year,mean,delta
1959,315.98,0
1960,316.91,0.93
1961,317.64,0.73
1962,318.45,0.81
1963,318.99,0.54
1964,319.62,0.63
1965,320.04,0.42
1966,321.37,1.33
1967,322.18,0.81
1968,323.05,0.87
1969,324.62,1.57
1970,325.68,1.06
1971,326.32,0.64
1972,327.46,1.14
1973,329.68,2.22
1974,330.19,0.51
1975,331.13,0.94
1976,332.03,0.9
1977,333.84,1.81
1978,335.41,1.57
1979,336.84,1.43
1980,338.76,1.92
1981,340.12,1.36
1982,341.48,1.36
1983,343.15,1.67
1984,344.87,1.72
1985,346.35,1.48
1986,347.61,1.26
1987,349.31,1.7
1988,351.69,2.38
1989,353.2,1.51
1990,354.45,1.25
1991,355.7,1.25
1992,356.54,0.84
1993,357.21,0.67
1994,358.96,1.75
1995,360.97,2.01
1996,362.74,1.77
1997,363.88,1.14
1998,366.84,2.96
1999,368.54,1.7
2000,369.71,1.17
2001,371.32,1.61
2002,373.45,2.13
2003,375.98,2.53
2004,377.7,1.72
2005,379.98,2.28
2006,382.09,2.11
2007,384.02,1.93
2008,385.83,1.81
2009,387.64,1.81
2010,390.1,2.46
2011,391.85,1.75
2012,394.06,2.21
2013,396.74,2.68
2014,398.81,2.07
2015,401.01,2.2
2016,404.41,3.4
2017,406.76,2.35
2018,408.72,1.96
2019,411.65,2.93
2020,414.21,2.56
2021,416.41,2.2
2022,418.53,2.12
2023,421.08,2.55
