Year,Means
1880,-0.19
1881,-0.10
1882,-0.11
1883,-0.19
1884,-0.29
1885,-0.32
1886,-0.32
1887,-0.35
1888,-0.18
1889,-0.11
1890,-0.37
1891,-0.24
1892,-0.27
1893,-0.32
1894,-0.32
1895,-0.23
1896,-0.12
1897,-0.12
1898,-0.28
1899,-0.18
1900,-0.09
1901,-0.16
1902,-0.30
1903,-0.39
1904,-0.49
1905,-0.29
1906,-0.23
1907,-0.40
1908,-0.44
1909,-0.48
1910,-0.43
1911,-0.43
1912,-0.36
1913,-0.36
1914,-0.16
1915,-0.13
1916,-0.33
1917,-0.44
1918,-0.29
1919,-0.27
1920,-0.27
1921,-0.18
1922,-0.28
1923,-0.25
1924,-0.26
1925,-0.21
1926,-0.10
1927,-0.21
1928,-0.20
1929,-0.35
1930,-0.15
1931,-0.10
1932,-0.17
1933,-0.30
1934,-0.14
1935,-0.20
1936,-0.16
1937,-0.04
1938,-0.03
1939,-0.03
1940,0.12
1941,0.18
1942,0.06
1943,0.07
1944,0.21
1945,0.09
1946,-0.07
1947,-0.04
1948,-0.10
1949,-0.11
1950,-0.18
1951,-0.07
1952,0.01
1953,0.07
1954,-0.15
1955,-0.14
1956,-0.21
1957,0.04
1958,0.07
1959,0.03
1960,-0.02
1961,0.06
1962,0.04
1963,0.07
1964,-0.20
1965,-0.11
1966,-0.05
1967,-0.02
1968,-0.08
1969,0.07
1970,0.03
1971,-0.09
1972,0.01
1973,0.16
1974,-0.08
1975,-0.01
1976,-0.11
1977,0.17
1978,0.06
1979,0.16
1980,0.27
1981,0.33
1982,0.13
1983,0.32
1984,0.16
1985,0.12
1986,0.18
1987,0.33
1988,0.41
1989,0.29
1990,0.44
1991,0.41
1992,0.22
1993,0.24
1994,0.31
1995,0.45
1996,0.34
1997,0.47
1998,0.62
1999,0.40
2000,0.40
2001,0.53
2002,0.62
2003,0.61
2004,0.53
2005,0.67
2006,0.62
2007,0.64
2008,0.52
2009,0.63
2010,0.70
2011,0.58
2012,0.62
2013,0.65
2014,0.73
2015,0.87
2016,0.99
2017,0.90
2018,0.82
2019,0.93
